companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
AJ3 Electrolink Corporation,NA,Project Engineer,Antipolo,Transportation service provided 8 hour shift 13th month salary Overtime pay Bachelor's (Preferred) Project Engineer: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=204&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5bb1dc6a&cb=1654778335650&jobListingId=1007912887852&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-ccf5da7b1d8209c3-
Achelous Victory Prime Development Corp,NA,Project Engineer,San Jose del Monte,"Familiar with technical specifications and standards Familiar with engineering construction procedures Prepare basic construction technical scheme Familiar with the work of various project engineers Prepare various management documents according to bidding documents, such as project management plan (PMP), risk management, transportation plan, etc. Contact the owners and consultants, and attend various meetings on behalf of the project department Handle correspondence documents with owners and consultants Experience in tunnel engineering or underground steel pipe engineering Bachelor's Degree in Engineering Great leadership and organizational skills Licensed Civil Engineer At least 3-5 years of working experience in the related field Strong time management and analytical skills Work Location: San Jose Del Monte Bulacan Mondays-Saturdays WILLING TO START IMMEDIATELY!!  8 hour shift 13th month salary Overtime pay San Jose del Monte, Bulacan: Reliably commute or planning to relocate before starting work (Preferred) Do you have experience in tunnel engineering? Bachelor's (Preferred) Project Engineer: 3 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f8002eca&cb=1654778335660&jobListingId=1007911938132&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-7ad621f089de1526-
"DAIHO (PHILS.), INC",NA,Staff Engineer,Binãn,"Candidate must possess at least a Bachelor's/College Degree in Industrial Engineering or Mechanical Engineering At least 1 year of working experience Knowledgeable in Plastic Injection Moulding process Knowledgeable in Kaizen, 5S, 7 QC tools/TQC, Lean system, Takt Time Analysis With experience in a Japanese manufacturing set-up; must be flexible, with strong interpersonal and leadership skills Computer literate (Microsoft Office) Fresh Graduates may apply Paid training Transportation service provided 8 hour shift Day shift 13th month salary Overtime pay Yearly bonus Bachelor's (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_83e39113&cb=1654778335653&jobListingId=1007884220176&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-e263d7345b154c41-
AL AMAL SPECIALIST RECRUITMENT,NA,Assistant Chief Engineer,Tagaytay,How many years is your experience as Assistant Chief Engineer in a 5-star hotel? How many years is your experience as Assistant Chief Engineer in Facilities Management Company?+,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e821867b&cb=1654778335654&jobListingId=1007845682796&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-e023cd6f80dd6895-
Jacobs,3.9,Flooding Engineer,Mandaluyong City,"Our People & Places Solutions business – reinforces our drive to improve the lives of people everywhere and epitomizes the ""why"" of what we do – the tremendous positive impact and value our solutions bring to our communities and society as a whole. From facilities delivering life-saving therapies and ensuring clean water to enabling the connection of people through all modes of transportation and providing access to technology – we're integrating a multitude of these solution elements to build the smart environments of tomorrow.

Start your Jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.

Your Impact:
As one of the world’s most value resources, our team is solving some of the world’s most complex water issues. Whether it’s treating, distributing or storing water, Jacobs reaches across boundaries and collaborates to successfully deliver customized innovative solutions. We provide you the means and tools to work on a wide variety of interesting and challenging projects to grow your career and help protect this valuable resource.
We are looking for a highly qualified and broadly experienced professionals to build on our existing strong capability in the Water Sector market in the Philippines and across Asia. Jacobs People & Places Solutions Water Sector business continues to rapidly grow to meet the needs of our clients who are investing in new solutions and associated infrastructure across the Philippine and Asia region, and we are looking for strong water focused professionals to take us to the next level of sustained business growth, outstanding culture for our people, and quality delivery for our clients. These positions are based the Philippines.
At Jacobs, our Water Sector team is geared towards providing a more integrated approach offering end-to-end service to support our clients in all aspects of the water business. We are helping our clients meeting the challenges faced in countries and cities across the globe, providing innovative solutions for water resources and ecosystems management, wastewater, drinking water and reuse and conveyance & storage to developing demand-side management strategies.
As part of this growing demand, we seek water professionals to deliver innovative solutions to our clients. As part of an interconnected team, you will be focused on delivering services in the water sector as a consultant for key project development and execution phases, including feasibility studies, conceptual design, project development services, technical due diligence, project management consultancy and project execution phases, as well as involvement in winning and delivering new projects across the Philippine and Asia region.
Key elements of these roles include. Projects – Preparation and delivery of consulting, engineering design and associated works, to high standards of quality, on time and on budget. Prospects and Proposals – Support the sales team and Water Section Leader in the pursuit of prospects with target clients, collaborating in the preparation of proposals for individual opportunities. People – Work efficiently in a multidisciplinary environment, maintaining and developing, as appropriate, positive relationships with clients and colleagues.
Here’s What You’ll Need:
Preferably Degree in Civil Engineering, preferably with some additional training in project management techniques; Relevant experience in the design and construction of water resources / water infrastructure projects. Previous experience on reservoir, dam and/or coastal projects is desired.
What you need. Relevant design experience in the water sector. Consultancy experience in delivering complex engineering projects in the Philippines and / or Asia and demonstrated ability to operate in a multi-disciplinary team. Core knowledge of development cycle for projects and opportunities in the water sector. Actively promote and demonstrate a strong safety culture in project design and working environment.
Cross sector knowledge outside the water sector and an ability to leverage past experiences to provide client confidence in delivery. Liaison with internal and external clients, authorities, and other design consultants. Contribute to client management for selected key clients as requested in co-ordination with the appropriate sales team and Water Section Leader. Team player with good inter-personal skills, attentive to detail, organised and structured and with initiative and enthusiasm. A strong work ethic and “can do” responsive attitude are paramount as is a strong ethic and ability “to get the job done” properly, professionally, cost effectively and to, crucially, meet deadlines.
Jacobs. A world where you can.
From our inclusive employee networks to our positive mental health champions – we’re committed to driving a culture of caring where you can be you. Joining Jacobs not only connects you locally but globally - and together, our diverse perspectives and unique backgrounds power our collective strength. We collaborate and share! By supporting one another, we all succeed.
With safety and flexibility always top of mind, we’ve gone beyond traditional ways of working so you have the support, means and space to maximise your potential. You’ll uncover flexible working arrangements, benefits and opportunities to do good too – from participating in our global giving and volunteering program, to exploring new and inventive ways to help our clients make the world a better place. No matter what drives you, you’ll discover how you can cultivate, nurture and achieve your goals – all at a single global company.
Start your Jacobs career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow.
Please note: If you are being represented by a recruitment agency you will not be considered, to be considered you will need to apply directly to Jacobs.
#WATERPH #ASIAID #PHREC #ASIAWaterResources #ASIAWaterEngineering #ASIAWaterShow more ",https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&cs=1_34959a0d&cb=1654778335651&jobListingId=1007897541477&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-935350f5cb4b5df4-
"EZ ROCKS COMPANY, INC.",NA,Plant Engineer,Cabuyao,"Evaluate manufacturing processes and workflows to identify opportunities for improvement Apply a working knowledge of product design and assembly to the manufacturing process Create processes and procedures to help the company meet budgetary and performance goals Alongside the creative team, design and develop new products and product mock-ups Participate in cross-departmental meetings to ensure collaboration Establish effective and efficient work sequences Solve existing manufacturing problems Develop standardized design criteria for all products 8 hour shift 13th month salary Cabuyao City, Laguna: Reliably commute or planning to relocate before starting work (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_37759850&cb=1654778335654&jobListingId=1007772181464&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-81765c881c1bfa35-
Furukawa Electric Autoparts Philippines,4.0,PRODUCTION ENGINEER (FRESH GRADUATE OF ME / ECE / EE & IE),Binãn,"Graduate of BS ME / IE / EE / ECE FRESH GRADUATE ARE OPEN TO APPLY! With or without experience in manufacturing company Strong leadership abilities. Superb written and verbal communication skills. Ability to make decisions under pressure Great attention to detail and organizational skills. Willing to work on a shifting basis Render OT weekdays and weekends if required Supervising the manufacturing processes, ensuring quality work is done in a safe, efficient manner. Liaising with other engineers to develop plans that improve production, costs, and labor required. Diagnosing problems in the production line and providing recommendations and training. Opportunities for promotion Staff meals provided Transportation service provided 8 hour shift Shift system 13th month salary Overtime pay Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e4eed367&cb=1654778335654&jobListingId=1007662076726&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-af0f9dc6bf4cfbcb-
"Primus @ Knowledge Specialists, Inc.",3.0,Microwave Engineer,Taguig,Bachelor's Degree in Electronics and Communication Engineering or any related field At least 2 years experience as microwave engineer Must have experience working/handling microwave project/equipment Preferably with experience in telecommunication industry Good communication skills Health insurance Life insurance Monday to Friday 13th month salary Overtime pay Quarterly bonus Bachelor's (Preferred) microwave: 1 year (Preferred),https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_86d937f3&cb=1654778335659&jobListingId=1007800058395&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-8d14ceeb8e80c2f5-
Trion Trade Inc.,NA,IOT Engineer,Pasig City,"Able to create design files such as circuit schematic, PCB Gerber file, Bill-of-Materials, etc. Knowledgeable in different electronic communication protocols (I2C, SPI, UART, etc.) and wireless communication protocols (WiFi, LoRa, GSM, etc.) Has excellent knowledge in Engineering practices and procedures Strong background in analog and digital electronics Knowledgeable in C and C++ Experienced in microcontroller programming (AVR, PIC or ARM) Able to demonstrate Root Cause Analysis Knowledgeable in Raspberry pi and Arduino CAN START ASAP Competitive Salary Package Company benefits Full exposure and training in your field while having the autonomy to unleash your skills Company paid training for career development Fun and empowering working environment Career and character growth opportunities Open Communications Can Start ASAP Additional leave Company Christmas gift Company events Employee stock ownership plan Flextime Free parking Health insurance On-site parking Opportunities for promotion Paid training Pay raise 8 hour shift Day shift Flexible shift Monday to Friday 13th month salary Performance bonus Pasig City: Reliably commute or planning to relocate before starting work (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ca1c7853&cb=1654778335660&jobListingId=1007915454410&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-1d62dc35e150f691-
Robinsons Supermarket Corporation,4.0,Mall Engineer,San Pedro,"Must possess at least a Bachelor’s Degree in Electrical Engineering, Mechanical Engineering, or its equivalent Preferably with at least 1 year experience in equipment maintenance planning and supervision Must have project management and leadership skills 8 hour shift Bachelor's (Preferred) Engineering: 1 year (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_625566b9&cb=1654778335651&jobListingId=1007766208621&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-25847c68ec10d766-
Lufthansa Technik Philippines,3.6,Tool Engineer,Pasay,"Performance of engineering services and technical evaluations, developments, administrations and enhancements of all aircraft, engine and component tools and equipment and test mock-ups. Performance of engineering services and technical evaluations involved in verification, test and calibration of M&TE. Conducts developmental, technical and economic studies on aircraft, engine and component tools and equipment Provides necessary designs, specifications, drawings, technical consultation and supervision for tool and equipment installation, modification, alteration, repair and local manufacture of tools and equipment Provides engineering assistance to shop mechanics in building test mock-up equipment especially if no technical data is available from components manufacturer manuals Establishes and monitor reliability and safety design standards for aircraft tools & equipment Provides technical assistance regarding issues and concerns on calibration and measurement standards Graduate of Engineering pref. Aeronautical, Electronics, Mechanical At least 2 years work experience in the related field is required Experience in Planning, Technical Design, and supply acquisition Willing to work onsite (Pasay City) Can start immediately Company Christmas gift Health insurance Life insurance Opportunities for promotion Paid training Promotion to permanent employee 8 hour shift Evening shift 13th month salary Commission pay Overtime pay Performance bonus Pasay City: Reliably commute or willing to relocate with an employer-provided relocation package (Required)",https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b3f66ca3&cb=1654778335654&jobListingId=1007715506578&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-068a7100c7a9e832-
AVLON Inc.,NA,GET (Graduate Engineer Trainees) Batch 4,Quezon City,"Graduate of Mechanical Engineering Fresh graduates are welcome to apply MS Word, MS Excel and MS Power point is mandatory Willing to work extended hours, weekends and holidays. Willing to be assigned in Quezon City. Ensuring project packages meet agreed specifications, budgets and/or timescales liaising with clients, subcontractors, Supplier and other professional staff Preparing Project reports and other paperwork Manage the site on a day-to-day basis. Can work under pressure and with deadlines 8 hour shift",https://www.glassdoor.com/partner/jobListing.htm?pos=203&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a9234861&cb=1654778335650&jobListingId=1007712017713&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-4073ddc52d685a79-
"InfoBuilder Technologies, Inc.",4.0,Industrial Engineer (WFH),Pasig City,"Problem identification and solution formulation Data collection, report generation and documentation Risk analysis and Management Strategy development and implementation Software implementation and training Assume responsibility for project tasks and ensure they are completed in a timely fashion Evaluate, test, and recommend new opportunities for enhancing our software, hardware and IT processes Compile and distribute reports on application development and deployment Design and execute testing procedures to extract data from test runs Evaluate and draw conclusions from data related to users Document any identified required changes, and communicate them to the relevant third parties/colleagues Define configuration specifications and business analysis requirements Perform quality assurance Define reporting and alerting requirements Own and develop relationships with partners, working with them to optimize and enhance our integration The candidate must be a graduate of Industrial Engineer. At least 2 Years of work experience in the Business Analyst position. Required Skill(s): Technical Writing, Project Management, Presentation Skills, Communication Skills, Analytics, Logic Preferably 2 Years experienced employee specialized in IT/Computer - Software or equivalent. Additional leave Company Christmas gift Company events Flexible schedule Flextime Health insurance Life insurance Opportunities for promotion Paid training Pay raise Work from home 8 hour shift Flexible shift Monday to Friday 13th month salary Overtime pay Pasig City: Reliably commute or planning to relocate before starting work (Required) Bachelor's (Preferred) Industrial Engineer: 1 year (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_16fcd94a&cb=1654778335660&jobListingId=1007904659684&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-cc328588c4d23543-
LPJ,4.6,Design Engineer,Muntinlupa,"Hybrid work arrangement by May Shift schedule is 7:00AM to 4:00 PM Morning schedule with weekends off HMO benefits upon hire Responsible for proposal and project utility PV design Energy Analysis Prepare early-stage site plans, site topographic analysis and array layout Develop internal standards, processes and templates 2+ years in utility scale PV, optimizing designs and maximizing the values of utility scale solar projects Proficient at drafting using Autocad, Civil 3D, Satellite Imaging Map Tools, Microsoft Office Degree or work experience in Engineering, Architecture or Construction related field. 8 hour shift 13th month salary Commission pay Overtime pay",https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1136043&s=58&guid=000001814879904596e6c92dd5051282&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ed51e6ed&cb=1654778335654&jobListingId=1007901426913&jrtk=3-0-1g547j438q6mk801-1g547j43nmfra800-3a267d316c213539-
